host_listings_count,latitude,longitude,accommodates,bathrooms,bedrooms,security_deposit,cleaning_fee,guests_included,extra_people,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,reviews_per_month,host_sinceyear,property_type_Hotel,room_type_Private room,price
2.0,43.77007,11.28095,4,1.5,2.0,200.0,0.0,2,13.0,0,0,0,83,180,24,96.0,2.35,2011.0,0,0,56.0
12.0,43.76246,11.28169,2,1.0,0.0,0.0,15.0,2,10.0,24,54,84,359,260,33,90.0,2.94,2011.0,0,0,65.0
3.0,43.77629,11.23922,2,1.0,1.0,0.0,0.0,1,0.0,0,19,42,104,8,0,87.0,0.09,2011.0,0,1,80.0
2.0,43.77321,11.26338,2,1.0,1.0,0.0,60.0,1,0.0,6,29,59,334,157,15,97.0,1.73,2011.0,0,0,50.0
6.0,43.78251,11.32289,2,1.0,1.0,0.0,35.0,1,10.0,26,56,86,357,251,32,90.0,2.67,2010.0,0,0,29.0
17.0,43.7748,11.25536,4,1.0,1.0,0.0,35.0,1,10.0,9,33,63,336,540,22,96.0,5.73,2011.0,0,1,69.0
2.0,43.76725,11.25079,2,1.5,1.0,200.0,75.0,2,0.0,3,3,3,88,58,3,92.0,0.74,2011.0,0,0,93.0
2.0,43.77266,11.24646,2,1.0,1.0,150.0,60.0,1,0.0,6,36,66,341,229,9,94.0,2.67,2009.0,0,0,80.0
22.0,43.76372,11.26084,4,2.0,1.0,200.0,60.0,2,5.0,16,46,76,351,31,13,95.0,0.34,2010.0,0,0,80.0
5.0,43.77431,11.25764,3,1.0,1.0,100.0,40.0,3,0.0,9,33,63,338,46,7,84.0,0.5,2011.0,0,0,85.0
5.0,43.77486,11.25692,3,1.0,1.0,100.0,40.0,1,0.0,6,30,60,335,7,0,97.0,0.08,2011.0,0,0,70.0
5.0,43.77458,11.25624,7,2.0,2.0,200.0,70.0,5,0.0,18,42,72,334,34,3,80.0,0.38,2011.0,0,0,120.0
36.0,43.7712,11.25587,6,2.0,2.0,0.0,60.0,1,0.0,3,29,59,248,4,0,100.0,0.04,2010.0,0,0,159.0
7.0,43.72935,11.24713,5,1.0,1.0,0.0,25.0,1,0.0,29,59,89,364,7,1,77.0,0.08,2011.0,0,0,97.0
1.0,43.77307,11.24797,6,2.0,3.0,0.0,35.0,5,0.0,30,53,83,358,97,12,93.0,1.07,2011.0,0,0,115.0
12.0,43.76705,11.2536,6,2.0,2.0,0.0,55.0,4,15.0,10,38,68,96,85,3,91.0,0.93,2011.0,0,0,105.0
22.0,43.7758,11.25836,5,2.0,2.0,150.0,35.0,6,0.0,29,59,89,250,43,2,87.0,0.46,2011.0,0,0,119.0
2.0,43.78338,11.25376,5,2.0,2.0,0.0,30.0,2,35.0,21,51,81,356,70,10,90.0,0.81,2011.0,0,0,79.0
22.0,43.77394,11.25755,3,1.0,1.0,100.0,35.0,4,0.0,19,49,79,241,6,0,80.0,0.08,2011.0,0,0,94.0
